Date,Time,avg(temp),avg(humidity),max(pir),max(nearPir),min(ch1),max(ch1),min(ch2),max(ch2),min(als),max(als),min(tp0),max(tp0),min(tp1),max(tp1),min(tp2),max(tp2),min(tp3),max(tp3)
2021-04-01,00:00,20.71,25.41,22.00,,,,,,45.00,48.00,-50.00,49.00,-45.00,47.00,-45.00,45.00,-46.00,41.00
2021-04-01,00:15,21.11,24.26,26.00,,,,,,45.00,47.00,-42.00,40.00,-40.00,40.00,-51.00,43.00,-41.00,48.00
2021-04-01,00:30,21.09,25.02,515.00,,,,,,30.00,46.00,-105.00,242.00,-129.00,312.00,-125.00,287.00,-124.00,275.00
2021-04-01,00:45,20.63,25.76,395.00,,,,,,42.00,44.00,-58.00,78.00,-57.00,94.00,-97.00,208.00,-107.00,211.00
2021-04-01,01:00,21.11,24.26,24.00,,,,,,42.00,46.00,-43.00,42.00,-44.00,49.00,-44.00,43.00,-42.00,40.00
2021-04-01,01:15,21.38,24.98,418.00,,,,,,35.00,45.00,-64.00,86.00,-127.00,124.00,-102.00,227.00,-89.00,141.00
2021-04-01,01:30,21.04,26.28,86.00,,,,,,44.00,45.00,-48.00,38.00,-46.00,47.00,-42.00,45.00,-44.00,42.00
2021-04-01,01:45,20.98,27.11,440.00,,,,,,36.00,45.00,-73.00,73.00,-66.00,121.00,-90.00,138.00,-113.00,122.00
2021-04-01,02:00,20.96,27.29,451.00,,,,,,42.00,46.00,-49.00,49.00,-56.00,82.00,-79.00,202.00,-83.00,171.00
2021-04-01,02:15,20.81,26.76,384.00,,,,,,42.00,45.00,-55.00,44.00,-49.00,66.00,-84.00,76.00,-90.00,80.00
2021-04-01,02:30,20.87,27.40,379.00,,,,,,29.00,45.00,-82.00,76.00,-103.00,113.00,-102.00,155.00,-98.00,153.00
2021-04-01,02:45,21.39,26.67,700.00,,,,,,0.00,46.00,-172.00,245.00,-183.00,292.00,-281.00,298.00,-279.00,305.00
2021-04-01,03:00,20.91,27.04,349.00,,,,,,0.00,1.00,-131.00,312.00,-136.00,372.00,-147.00,343.00,-155.00,372.00
2021-04-01,03:15,20.71,26.67,,,,,,,,,,,,,,,,
2021-04-01,03:30,20.11,26.00,,,,,,,,,,,,,,,,
2021-04-01,03:45,19.88,25.85,29.00,,,,,,1.00,1.00,-43.00,45.00,-43.00,44.00,-45.00,40.00,-47.00,43.00
2021-04-01,04:00,19.30,25.80,29.00,,,,,,1.00,1.00,-42.00,40.00,-41.00,44.00,-42.00,39.00,-47.00,40.00
2021-04-01,04:15,18.98,25.80,21.00,,,,,,1.00,1.00,-42.00,41.00,-38.00,48.00,-43.00,37.00,-39.00,36.00
2021-04-01,04:30,18.72,25.79,22.00,,,,,,1.00,1.00,-45.00,38.00,-47.00,40.00,-45.00,44.00,-45.00,40.00
2021-04-01,04:45,18.36,25.88,25.00,,,,,,1.00,1.00,-37.00,44.00,-50.00,40.00,-49.00,43.00,-49.00,42.00
2021-04-01,05:00,18.11,26.00,23.00,,,,,,1.00,1.00,-42.00,43.00,-44.00,45.00,-45.00,46.00,-48.00,43.00
2021-04-01,05:15,17.86,26.10,24.00,,,,,,1.00,1.00,-43.00,40.00,-48.00,46.00,-43.00,39.00,-45.00,41.00
2021-04-01,05:30,17.62,26.24,26.00,,,,,,1.00,1.00,-41.00,39.00,-42.00,39.00,-46.00,46.00,-40.00,37.00
2021-04-01,05:45,17.33,26.34,23.00,,,,,,1.00,1.00,-41.00,36.00,-43.00,40.00,-45.00,42.00,-39.00,40.00
2021-04-01,06:00,17.07,26.44,23.00,,,,,,1.00,1.00,-41.00,37.00,-45.00,42.00,-42.00,40.00,-40.00,45.00
2021-04-01,06:15,16.87,26.51,21.00,,,,,,1.00,1.00,-48.00,37.00,-46.00,41.00,-42.00,42.00,-46.00,42.00
2021-04-01,06:30,16.69,26.74,25.00,,,,,,1.00,1.00,-42.00,44.00,-46.00,39.00,-43.00,42.00,-40.00,41.00
2021-04-01,06:45,16.43,26.90,22.00,,,,,,1.00,1.00,-38.00,41.00,-44.00,42.00,-43.00,41.00,-43.00,40.00
2021-04-01,07:00,16.18,26.75,23.00,,,,,,1.00,1.00,-40.00,43.00,-46.00,42.00,-42.00,45.00,-41.00,38.00
2021-04-01,07:15,16.83,25.58,24.00,,,,,,1.00,1.00,-42.00,35.00,-46.00,39.00,-44.00,44.00,-38.00,45.00
2021-04-01,07:30,17.31,26.12,27.00,,,,,,1.00,1.00,-47.00,40.00,-44.00,39.00,-41.00,46.00,-39.00,50.00
2021-04-01,07:45,16.73,27.45,31.00,,,,,,1.00,1.00,-41.00,38.00,-41.00,37.00,-40.00,38.00,-45.00,35.00
2021-04-01,08:00,16.27,27.64,25.00,,,,,,1.00,1.00,-39.00,39.00,-43.00,40.00,-41.00,42.00,-40.00,40.00
2021-04-01,08:15,16.61,25.17,22.00,,,,,,1.00,1.00,-39.00,36.00,-42.00,39.00,-38.00,39.00,-37.00,42.00
2021-04-01,08:30,16.94,26.15,24.00,,,,,,1.00,1.00,-42.00,37.00,-43.00,35.00,-42.00,45.00,-40.00,36.00
2021-04-01,08:45,16.29,27.55,24.00,,,,,,1.00,1.00,-39.00,37.00,-44.00,39.00,-41.00,36.00,-42.00,38.00
2021-04-01,09:00,16.63,25.24,25.00,,,,,,1.00,1.00,-39.00,37.00,-41.00,41.00,-40.00,48.00,-46.00,37.00
2021-04-01,09:15,16.93,26.30,23.00,,,,,,1.00,1.00,-45.00,36.00,-45.00,39.00,-43.00,44.00,-51.00,41.00
2021-04-01,09:30,16.28,27.59,30.00,,,,,,1.00,1.00,-38.00,40.00,-42.00,39.00,-43.00,39.00,-41.00,39.00
2021-04-01,09:45,16.63,25.07,23.00,,,,,,1.00,1.00,-38.00,39.00,-41.00,38.00,-44.00,43.00,-38.00,38.00
2021-04-01,10:00,16.90,26.20,24.00,,,,,,1.00,1.00,-42.00,37.00,-45.00,38.00,-44.00,43.00,-42.00,42.00
2021-04-01,10:15,16.24,27.53,23.00,,,,,,1.00,1.00,-42.00,39.00,-46.00,43.00,-40.00,41.00,-46.00,42.00
2021-04-01,10:30,16.62,24.95,23.00,,,,,,1.00,1.00,-38.00,44.00,-41.00,38.00,-42.00,40.00,-49.00,40.00
2021-04-01,10:45,16.59,26.74,25.00,,,,,,1.00,1.00,-48.00,42.00,-44.00,39.00,-45.00,38.00,-38.00,38.00
2021-04-01,11:00,16.48,25.18,22.00,,,,,,1.00,1.00,-39.00,42.00,-40.00,38.00,-41.00,44.00,-44.00,45.00
2021-04-01,11:15,16.86,26.02,21.00,,,,,,1.00,1.00,-43.00,37.00,-37.00,41.00,-54.00,34.00,-41.00,35.00
2021-04-01,11:30,16.31,27.24,27.00,,,,,,1.00,2.00,-41.00,38.00,-40.00,43.00,-41.00,38.00,-39.00,36.00
2021-04-01,11:45,16.93,24.80,26.00,,,,,,2.00,5.00,-37.00,43.00,-39.00,42.00,-40.00,41.00,-47.00,39.00
2021-04-01,12:00,18.18,24.06,20.00,,,,,,5.00,8.00,-36.00,37.00,-39.00,37.00,-42.00,38.00,-43.00,37.00
2021-04-01,12:15,19.29,23.50,25.00,,,,,,7.00,18.00,-39.00,44.00,-49.00,40.00,-49.00,45.00,-48.00,45.00
2021-04-01,12:30,20.52,22.92,255.00,,,,,,13.00,74.00,-81.00,233.00,-155.00,443.00,-191.00,501.00,-108.00,374.00
2021-04-01,12:45,21.25,23.25,294.00,,,,,,77.00,166.00,-52.00,56.00,-48.00,44.00,-64.00,78.00,-67.00,73.00
2021-04-01,13:00,20.53,24.04,404.00,,,,,,166.00,216.00,-48.00,44.00,-48.00,42.00,-44.00,44.00,-43.00,42.00
2021-04-01,13:15,21.28,23.32,473.00,,,,,,197.00,241.00,-143.00,212.00,-136.00,314.00,-228.00,244.00,-189.00,294.00
2021-04-01,13:30,20.67,24.95,538.00,,,,,,209.00,253.00,-193.00,584.00,-239.00,705.00,-252.00,737.00,-202.00,687.00
2021-04-01,13:45,21.46,25.24,321.00,,,,,,222.00,252.00,-70.00,121.00,-90.00,170.00,-126.00,218.00,-106.00,199.00
2021-04-01,14:00,21.24,24.80,22.00,,,,,,251.00,256.00,-43.00,44.00,-47.00,46.00,-45.00,41.00,-41.00,44.00
2021-04-01,14:15,20.85,24.63,24.00,,,,,,241.00,265.00,-54.00,69.00,-81.00,135.00,-86.00,128.00,-78.00,102.00
