Date,Time,avg(temp),avg(humidity),max(pir),max(nearPir),min(ch1),max(ch1),min(ch2),max(ch2),min(als),max(als),min(tp0),max(tp0),min(tp1),max(tp1),min(tp2),max(tp2),min(tp3),max(tp3)
2021-08-01,00:00,21.59,48.37,24.00,,,,,,6.00,17.00,-46.00,45.00,-44.00,46.00,-48.00,51.00,-46.00,46.00
2021-08-01,00:15,21.78,48.99,340.00,,,,,,5.00,53.00,-46.00,59.00,-54.00,114.00,-47.00,111.00,-64.00,92.00
2021-08-01,00:30,22.02,49.87,241.00,,,,,,42.00,52.00,-130.00,336.00,-106.00,380.00,-122.00,357.00,-105.00,328.00
2021-08-01,00:45,21.87,48.53,286.00,,,,,,38.00,47.00,-75.00,109.00,-99.00,220.00,-124.00,190.00,-84.00,133.00
2021-08-01,01:00,21.70,48.06,397.00,,,,,,35.00,48.00,-47.00,42.00,-50.00,39.00,-48.00,49.00,-64.00,75.00
2021-08-01,01:15,21.73,47.38,329.00,,,,,,44.00,48.00,-92.00,119.00,-127.00,247.00,-134.00,197.00,-96.00,151.00
2021-08-01,01:30,21.57,46.79,391.00,,,,,,31.00,48.00,-75.00,79.00,-78.00,108.00,-93.00,89.00,-78.00,80.00
2021-08-01,01:45,21.61,46.51,35.00,,,,,,46.00,48.00,-42.00,39.00,-47.00,41.00,-53.00,44.00,-41.00,46.00
2021-08-01,02:00,21.55,45.88,22.00,,,,,,46.00,47.00,-48.00,40.00,-44.00,46.00,-44.00,42.00,-45.00,35.00
2021-08-01,02:15,21.27,46.25,25.00,,,,,,47.00,47.00,-45.00,41.00,-50.00,42.00,-43.00,50.00,-43.00,43.00
2021-08-01,02:30,20.99,46.61,384.00,,,,,,46.00,49.00,-39.00,47.00,-45.00,45.00,-76.00,84.00,-71.00,81.00
2021-08-01,02:45,21.33,49.77,385.00,,,,,,38.00,48.00,-59.00,137.00,-86.00,255.00,-110.00,271.00,-80.00,210.00
2021-08-01,03:00,21.60,51.36,305.00,,,,,,42.00,47.00,-54.00,82.00,-63.00,149.00,-64.00,136.00,-68.00,114.00
2021-08-01,03:15,21.70,50.90,294.00,,,,,,44.00,47.00,-44.00,44.00,-53.00,47.00,-46.00,41.00,-49.00,55.00
