Date,Time,avg(temp),avg(humidity),max(pir),max(nearPir),min(ch1),max(ch1),min(ch2),max(ch2),min(als),max(als),min(tp0),max(tp0),min(tp1),max(tp1),min(tp2),max(tp2),min(tp3),max(tp3)
2021-07-01,00:00,20.78,48.12,337.00,,,,,,36.00,60.00,-54.00,107.00,-91.00,236.00,-80.00,237.00,-66.00,136.00
2021-07-01,00:15,20.78,48.55,408.00,,,,,,23.00,40.00,-60.00,95.00,-73.00,125.00,-105.00,167.00,-83.00,153.00
2021-07-01,00:30,21.01,49.15,434.00,,,,,,15.00,63.00,-1185.00,1867.00,-1252.00,1754.00,-1220.00,1525.00,-1336.00,1681.00
2021-07-01,00:45,21.58,50.57,27.00,,,,,,53.00,58.00,-45.00,47.00,-51.00,45.00,-50.00,49.00,-47.00,47.00
2021-07-01,01:00,21.75,52.99,25.00,,,,,,47.00,53.00,-43.00,44.00,-54.00,40.00,-48.00,41.00,-43.00,41.00
2021-07-01,01:15,,,,,,,,,,,,,,,,,,
2021-07-01,01:30,21.82,54.76,24.00,,,,,,45.00,47.00,-42.00,43.00,-47.00,45.00,-48.00,53.00,-44.00,45.00
2021-07-01,01:45,21.97,54.38,283.00,,,,,,35.00,46.00,-65.00,104.00,-91.00,214.00,-103.00,216.00,-78.00,128.00
2021-07-01,02:00,22.28,56.71,371.00,,,,,,43.00,46.00,-46.00,44.00,-46.00,52.00,-68.00,56.00,-60.00,60.00
2021-07-01,02:15,22.44,56.33,285.00,,,,,,38.00,46.00,-48.00,78.00,-64.00,139.00,-72.00,141.00,-78.00,99.00
2021-07-01,02:30,22.24,53.97,20.00,,,,,,45.00,46.00,-38.00,46.00,-41.00,46.00,-45.00,43.00,-40.00,41.00
2021-07-01,02:45,22.49,54.31,304.00,,,,,,44.00,46.00,-39.00,48.00,-42.00,46.00,-44.00,42.00,-44.00,44.00
2021-07-01,03:00,22.69,55.33,482.00,,,,,,1.00,46.00,-96.00,106.00,-120.00,163.00,-148.00,180.00,-148.00,163.00
2021-07-01,03:15,22.83,56.06,19.00,,,,,,1.00,1.00,-42.00,45.00,-45.00,41.00,-50.00,49.00,-46.00,43.00
2021-07-01,03:30,22.87,56.16,21.00,,,,,,1.00,1.00,-41.00,44.00,-47.00,44.00,-48.00,48.00,-44.00,44.00
2021-07-01,03:45,22.75,56.36,24.00,,,,,,1.00,1.00,-48.00,47.00,-47.00,44.00,-44.00,49.00,-48.00,45.00
2021-07-01,04:00,22.62,56.72,233.00,,,,,,1.00,1.00,-65.00,107.00,-81.00,191.00,-100.00,200.00,-84.00,157.00
2021-07-01,04:15,,,,,,,,,,,,,,,,,,
2021-07-01,04:30,22.65,56.83,298.00,,,,,,1.00,1.00,-83.00,152.00,-87.00,192.00,-90.00,180.00,-96.00,201.00
2021-07-01,04:45,22.63,56.69,24.00,,,,,,1.00,1.00,-47.00,40.00,-39.00,40.00,-42.00,44.00,-43.00,40.00
2021-07-01,05:00,22.59,56.67,24.00,,,,,,1.00,1.00,-47.00,47.00,-49.00,43.00,-44.00,45.00,-47.00,44.00
2021-07-01,05:15,,,,,,,,,,,,,,,,,,
2021-07-01,05:30,22.57,56.64,23.00,,,,,,1.00,1.00,-45.00,48.00,-44.00,42.00,-46.00,41.00,-49.00,46.00
2021-07-01,05:45,,,,,,,,,,,,,,,,,,
2021-07-01,06:00,22.59,56.63,24.00,,,,,,1.00,1.00,-45.00,43.00,-51.00,46.00,-46.00,43.00,-57.00,45.00
2021-07-01,06:15,,,,,,,,,,,,,,,,,,
2021-07-01,06:30,22.60,56.63,24.00,,,,,,1.00,1.00,-49.00,42.00,-48.00,46.00,-49.00,50.00,-51.00,46.00
2021-07-01,06:45,,,,,,,,,,,,,,,,,,
2021-07-01,07:00,22.62,56.68,26.00,,,,,,1.00,1.00,-42.00,43.00,-47.00,43.00,-46.00,43.00,-56.00,47.00
2021-07-01,07:15,,,,,,,,,,,,,,,,,,
2021-07-01,07:30,22.61,56.65,23.00,,,,,,1.00,1.00,-45.00,43.00,-53.00,44.00,-46.00,49.00,-51.00,42.00
2021-07-01,07:45,22.55,56.91,21.00,,,,,,1.00,1.00,-38.00,33.00,-45.00,43.00,-43.00,40.00,-45.00,36.00
2021-07-01,08:00,22.56,56.78,27.00,,,,,,1.00,1.00,-48.00,44.00,-48.00,49.00,-48.00,50.00,-54.00,46.00
2021-07-01,08:15,,,,,,,,,,,,,,,,,,
2021-07-01,08:30,22.55,56.77,25.00,,,,,,1.00,1.00,-43.00,44.00,-44.00,40.00,-46.00,44.00,-47.00,42.00
2021-07-01,08:45,,,,,,,,,,,,,,,,,,
2021-07-01,09:00,22.55,56.62,30.00,,,,,,1.00,1.00,-55.00,45.00,-43.00,46.00,-52.00,50.00,-48.00,46.00
2021-07-01,09:15,,,,,,,,,,,,,,,,,,
2021-07-01,09:30,22.53,56.43,23.00,,,,,,1.00,1.00,-50.00,45.00,-43.00,43.00,-45.00,43.00,-44.00,42.00
2021-07-01,09:45,,,,,,,,,,,,,,,,,,
2021-07-01,10:00,22.46,56.40,27.00,,,,,,1.00,1.00,-46.00,44.00,-50.00,44.00,-47.00,47.00,-49.00,45.00
2021-07-01,10:15,22.44,56.00,,,,,,,,,,,,,,,,
2021-07-01,10:30,22.44,56.19,22.00,,,,,,1.00,3.00,-44.00,48.00,-44.00,44.00,-44.00,47.00,-47.00,44.00
2021-07-01,10:45,,,,,,,,,,,,,,,,,,
2021-07-01,11:00,22.38,56.10,23.00,,,,,,3.00,10.00,-45.00,45.00,-46.00,44.00,-46.00,42.00,-45.00,43.00
2021-07-01,11:15,21.85,52.34,23.00,,,,,,10.00,13.00,-37.00,51.00,-45.00,39.00,-50.00,39.00,-40.00,39.00
2021-07-01,11:30,21.59,49.69,23.00,,,,,,12.00,18.00,-44.00,41.00,-43.00,43.00,-48.00,42.00,-44.00,43.00
2021-07-01,11:45,21.22,47.47,23.00,,,,,,18.00,51.00,-43.00,46.00,-44.00,46.00,-47.00,48.00,-50.00,46.00
2021-07-01,12:00,21.13,48.23,23.00,,,,,,34.00,49.00,-41.00,40.00,-42.00,47.00,-44.00,56.00,-46.00,39.00
2021-07-01,12:15,,,,,,,,,,,,,,,,,,
2021-07-01,12:30,21.41,49.20,256.00,,,,,,30.00,36.00,-43.00,38.00,-47.00,51.00,-46.00,42.00,-45.00,48.00
2021-07-01,12:45,21.12,48.21,24.00,,,,,,34.00,37.00,-46.00,40.00,-48.00,49.00,-51.00,49.00,-50.00,44.00
2021-07-01,13:00,20.78,47.04,421.00,,,,,,30.00,34.00,-48.00,53.00,-60.00,112.00,-66.00,135.00,-73.00,96.00
2021-07-01,13:15,20.99,48.43,362.00,,,,,,27.00,32.00,-65.00,124.00,-98.00,192.00,-124.00,221.00,-93.00,193.00
2021-07-01,13:30,21.21,48.96,402.00,,,,,,26.00,32.00,-71.00,93.00,-87.00,154.00,-138.00,211.00,-115.00,174.00
2021-07-01,13:45,21.51,50.02,569.00,,,,,,31.00,41.00,-72.00,72.00,-92.00,104.00,-90.00,156.00,-98.00,105.00
2021-07-01,14:00,21.30,48.80,449.00,,,,,,40.00,53.00,-56.00,101.00,-75.00,168.00,-90.00,215.00,-92.00,145.00
2021-07-01,14:15,20.88,48.04,289.00,,,,,,48.00,69.00,-102.00,202.00,-111.00,247.00,-118.00,218.00,-111.00,235.00
2021-07-01,14:30,20.99,48.18,23.00,,,,,,69.00,83.00,-48.00,38.00,-48.00,39.00,-43.00,42.00,-41.00,43.00
