Date,Time,avg(temp),avg(humidity),max(pir),max(nearPir),min(ch1),max(ch1),min(ch2),max(ch2),min(als),max(als),min(tp0),max(tp0),min(tp1),max(tp1),min(tp2),max(tp2),min(tp3),max(tp3)
2021-05-01,00:00,20.81,33.95,21.00,,,,,,11.00,51.00,-43.00,43.00,-49.00,41.00,-42.00,46.00,-44.00,45.00
2021-05-01,00:15,21.53,33.29,374.00,,,,,,6.00,53.00,-140.00,406.00,-165.00,490.00,-128.00,294.00,-124.00,278.00
2021-05-01,00:30,21.79,34.15,411.00,,,,,,17.00,49.00,-383.00,739.00,-620.00,1079.00,-517.00,909.00,-344.00,640.00
2021-05-01,00:45,22.66,33.24,378.00,,,,,,43.00,45.00,-45.00,51.00,-48.00,49.00,-71.00,51.00,-63.00,65.00
2021-05-01,01:00,22.38,34.35,426.00,,,,,,29.00,45.00,-94.00,221.00,-122.00,282.00,-134.00,229.00,-129.00,174.00
2021-05-01,01:15,22.13,34.25,360.00,,,,,,22.00,47.00,-113.00,348.00,-144.00,391.00,-182.00,347.00,-126.00,244.00
2021-05-01,01:30,22.27,33.83,330.00,,,,,,36.00,47.00,-43.00,41.00,-45.00,52.00,-45.00,47.00,-50.00,44.00
2021-05-01,01:45,22.77,33.03,25.00,,,,,,46.00,47.00,-52.00,39.00,-47.00,42.00,-52.00,53.00,-50.00,49.00
2021-05-01,02:00,22.41,33.59,592.00,,,,,,43.00,46.00,-59.00,74.00,-62.00,96.00,-72.00,103.00,-56.00,101.00
2021-05-01,02:15,22.02,33.91,387.00,,,,,,38.00,49.00,-95.00,176.00,-137.00,296.00,-121.00,215.00,-93.00,159.00
2021-05-01,02:30,22.30,33.29,31.00,,,,,,1.00,48.00,-42.00,46.00,-41.00,40.00,-46.00,51.00,-40.00,49.00
2021-05-01,02:45,22.60,32.90,312.00,,,,,,1.00,1.00,-90.00,177.00,-97.00,236.00,-119.00,243.00,-136.00,211.00
2021-05-01,03:00,22.05,33.46,23.00,,,,,,1.00,1.00,-45.00,45.00,-49.00,50.00,-46.00,51.00,-46.00,50.00
2021-05-01,03:15,21.78,33.16,23.00,,,,,,1.00,1.00,-48.00,41.00,-45.00,40.00,-39.00,38.00,-43.00,41.00
2021-05-01,03:30,21.54,33.32,22.00,,,,,,1.00,1.00,-52.00,41.00,-49.00,41.00,-49.00,48.00,-46.00,47.00
2021-05-01,03:45,21.15,33.42,20.00,,,,,,1.00,1.00,-42.00,43.00,-45.00,42.00,-46.00,43.00,-42.00,50.00
2021-05-01,04:00,20.90,33.31,21.00,,,,,,1.00,1.00,-40.00,40.00,-43.00,42.00,-45.00,47.00,-50.00,45.00
