Date,Time,avg(temp),avg(humidity),max(pir),max(nearPir),min(ch1),max(ch1),min(ch2),max(ch2),min(als),max(als),min(tp0),max(tp0),min(tp1),max(tp1),min(tp2),max(tp2),min(tp3),max(tp3)
2020-12-01,00:00,20.72,31.59,328.00,,,,,,37.00,48.00,-102.00,251.00,-127.00,341.00,-124.00,329.00,-96.00,272.00
2020-12-01,00:15,21.42,31.33,508.00,,,,,,28.00,48.00,-126.00,215.00,-142.00,316.00,-134.00,186.00,-143.00,189.00
2020-12-01,00:30,21.14,31.87,376.00,,,,,,37.00,47.00,-415.00,776.00,-393.00,808.00,-373.00,858.00,-336.00,787.00
2020-12-01,00:45,20.90,31.47,454.00,,,,,,29.00,47.00,-89.00,151.00,-110.00,184.00,-133.00,226.00,-111.00,167.00
2020-12-01,01:00,21.01,31.78,21.00,,,,,,45.00,47.00,-42.00,43.00,-44.00,41.00,-45.00,47.00,-44.00,42.00
2020-12-01,01:15,21.11,30.75,23.00,,,,,,45.00,46.00,-47.00,42.00,-46.00,45.00,-50.00,49.00,-44.00,45.00
2020-12-01,01:30,20.53,31.34,589.00,,,,,,24.00,47.00,-193.00,341.00,-228.00,368.00,-240.00,262.00,-171.00,222.00
2020-12-01,01:45,20.41,31.55,,,,,,,,,-51.00,51.00,-45.00,65.00,-72.00,106.00,-70.00,93.00
2020-12-01,02:00,20.34,31.29,553.00,,,,,,37.00,47.00,-102.00,217.00,-133.00,322.00,-158.00,267.00,-111.00,237.00
2020-12-01,02:15,19.99,30.86,457.00,,,,,,21.00,46.00,-68.00,155.00,-72.00,134.00,-91.00,177.00,-107.00,149.00
2020-12-01,02:30,19.47,31.30,437.00,,,,,,15.00,47.00,-210.00,549.00,-234.00,569.00,-286.00,417.00,-263.00,536.00
2020-12-01,02:45,19.28,31.55,489.00,,,,,,45.00,46.00,-81.00,112.00,-115.00,168.00,-107.00,181.00,-110.00,198.00
2020-12-01,03:00,19.05,31.14,504.00,,,,,,30.00,48.00,-106.00,178.00,-145.00,319.00,-152.00,227.00,-113.00,211.00
2020-12-01,03:15,18.68,32.42,570.00,,,,,,20.00,49.00,-569.00,387.00,-435.00,397.00,-379.00,286.00,-466.00,250.00
