Date,Time,avg(temp),avg(humidity),max(pir),max(nearPir),min(ch1),max(ch1),min(ch2),max(ch2),min(als),max(als),min(tp0),max(tp0),min(tp1),max(tp1),min(tp2),max(tp2),min(tp3),max(tp3)
2021-01-01,00:00,21.08,30.69,533.00,,,,,,35.00,45.00,-110.00,195.00,-158.00,359.00,-167.00,241.00,-118.00,190.00
2021-01-01,00:15,21.59,31.68,335.00,,,,,,44.00,45.00,-56.00,53.00,-58.00,45.00,-83.00,105.00,-105.00,119.00
2021-01-01,00:30,21.03,29.20,24.00,,,,,,45.00,45.00,-47.00,44.00,-51.00,46.00,-48.00,43.00,-46.00,45.00
2021-01-01,00:45,21.26,32.67,24.00,,,,,,45.00,45.00,-45.00,47.00,-42.00,43.00,-50.00,50.00,-47.00,38.00
2021-01-01,01:00,20.90,29.96,476.00,,,,,,35.00,46.00,-121.00,409.00,-122.00,482.00,-96.00,308.00,-122.00,299.00
2021-01-01,01:15,21.29,30.93,33.00,,,,,,44.00,46.00,-50.00,54.00,-50.00,48.00,-49.00,49.00,-69.00,57.00
2021-01-01,01:30,20.25,27.74,492.00,,,,,,1.00,45.00,-81.00,106.00,-100.00,184.00,-124.00,157.00,-125.00,136.00
2021-01-01,01:45,19.41,28.21,384.00,,,,,,0.00,2.00,-91.00,120.00,-101.00,180.00,-104.00,198.00,-106.00,186.00
2021-01-01,02:00,,,,,,,,,,,,,,,,,,
2021-01-01,02:15,18.74,26.80,,,,,,,,,,,,,,,,
2021-01-01,02:30,18.40,26.73,25.00,,,,,,0.00,0.00,-44.00,44.00,-46.00,43.00,-48.00,43.00,-46.00,46.00
2021-01-01,02:45,18.62,27.73,26.00,,,,,,0.00,0.00,-47.00,41.00,-43.00,40.00,-45.00,44.00,-47.00,39.00
2021-01-01,03:00,18.87,26.80,24.00,,,,,,0.00,0.00,-38.00,40.00,-46.00,45.00,-46.00,41.00,-46.00,42.00
2021-01-01,03:15,18.46,27.41,24.00,,,,,,0.00,0.00,-42.00,39.00,-41.00,42.00,-44.00,45.00,-48.00,41.00
2021-01-01,03:30,19.12,27.34,22.00,,,,,,0.00,0.00,-45.00,35.00,-47.00,38.00,-47.00,44.00,-41.00,41.00
2021-01-01,03:45,18.62,27.06,23.00,,,,,,0.00,0.00,-52.00,42.00,-41.00,47.00,-43.00,45.00,-47.00,40.00
2021-01-01,04:00,18.04,27.25,20.00,,,,,,0.00,0.00,-40.00,39.00,-45.00,44.00,-44.00,41.00,-47.00,38.00
2021-01-01,04:15,,,,,,,,,,,,,,,,,,
2021-01-01,04:30,17.56,27.13,25.00,,,,,,0.00,0.00,-47.00,36.00,-52.00,45.00,-45.00,47.00,-47.00,40.00
