Date,Time,avg(temp),avg(humidity),max(pir),max(nearPir),min(ch1),max(ch1),min(ch2),max(ch2),min(als),max(als),min(tp0),max(tp0),min(tp1),max(tp1),min(tp2),max(tp2),min(tp3),max(tp3)
2022-01-01,00:00,18.89,32.40,21.00,,,,,,43.00,43.00,-36.00,38.00,-43.00,41.00,-40.00,41.00,-37.00,41.00
2022-01-01,00:15,19.05,31.76,25.00,,,,,,42.00,43.00,-42.00,39.00,-44.00,40.00,-46.00,39.00,-40.00,40.00
2022-01-01,00:30,18.72,32.40,22.00,,,,,,42.00,43.00,-43.00,42.00,-44.00,38.00,-47.00,41.00,-46.00,44.00
2022-01-01,00:45,19.36,31.52,22.00,,,,,,42.00,43.00,-39.00,39.00,-39.00,41.00,-49.00,40.00,-41.00,44.00
2022-01-01,01:00,18.87,32.07,21.00,,,,,,42.00,43.00,-40.00,40.00,-46.00,44.00,-49.00,43.00,-48.00,40.00
2022-01-01,01:15,18.72,32.45,23.00,,,,,,42.00,43.00,-38.00,40.00,-39.00,37.00,-41.00,45.00,-41.00,42.00
2022-01-01,01:30,19.15,31.73,24.00,,,,,,42.00,43.00,-43.00,42.00,-43.00,43.00,-43.00,48.00,-45.00,40.00
2022-01-01,01:45,18.73,32.53,22.00,,,,,,42.00,43.00,-46.00,40.00,-40.00,39.00,-44.00,42.00,-52.00,49.00
2022-01-01,02:00,19.38,31.69,22.00,,,,,,42.00,43.00,-36.00,36.00,-44.00,35.00,-42.00,39.00,-42.00,37.00
2022-01-01,02:15,18.91,32.17,23.00,,,,,,42.00,43.00,-43.00,40.00,-47.00,44.00,-43.00,43.00,-43.00,44.00
2022-01-01,02:30,18.85,32.45,25.00,,,,,,43.00,43.00,-36.00,39.00,-48.00,39.00,-46.00,45.00,-43.00,37.00
2022-01-01,02:45,19.26,31.62,24.00,,,,,,42.00,43.00,-46.00,36.00,-46.00,38.00,-41.00,37.00,-37.00,37.00
2022-01-01,03:00,18.75,32.53,28.00,,,,,,43.00,43.00,-42.00,38.00,-48.00,41.00,-45.00,40.00,-45.00,42.00
2022-01-01,03:15,,,,,,,,,,,,,,,,,,
2022-01-01,03:30,19.02,32.08,22.00,,,,,,42.00,43.00,-44.00,38.00,-45.00,50.00,-44.00,43.00,-42.00,40.00
2022-01-01,03:45,18.76,32.43,21.00,,,,,,43.00,43.00,-42.00,46.00,-44.00,42.00,-42.00,37.00,-39.00,40.00
2022-01-01,04:00,19.10,31.87,25.00,,,,,,42.00,43.00,-44.00,36.00,-45.00,40.00,-46.00,38.00,-41.00,37.00
2022-01-01,04:15,,,,,,,,,,,,,,,,,,
2022-01-01,04:30,18.34,32.40,22.00,,,,,,43.00,43.00,-44.00,39.00,-42.00,45.00,-55.00,51.00,-45.00,45.00
2022-01-01,04:45,17.93,32.16,19.00,,,,,,43.00,43.00,-41.00,37.00,-43.00,41.00,-41.00,47.00,-36.00,40.00
2022-01-01,05:00,17.69,31.99,25.00,,,,,,43.00,43.00,-39.00,37.00,-50.00,48.00,-43.00,41.00,-42.00,41.00
2022-01-01,05:15,,,,,,,,,,,,,,,,,,
2022-01-01,05:30,17.22,32.06,27.00,,,,,,43.00,43.00,-40.00,41.00,-40.00,39.00,-42.00,40.00,-46.00,40.00
2022-01-01,05:45,16.85,32.18,29.00,,,,,,42.00,43.00,-40.00,34.00,-42.00,40.00,-42.00,47.00,-44.00,52.00
2022-01-01,06:00,16.70,32.27,23.00,,,,,,42.00,43.00,-43.00,33.00,-45.00,39.00,-39.00,39.00,-41.00,42.00
2022-01-01,06:15,16.47,32.32,22.00,,,,,,42.00,43.00,-42.00,38.00,-42.00,42.00,-42.00,41.00,-39.00,39.00
2022-01-01,06:30,16.26,32.51,24.00,,,,,,43.00,43.00,-41.00,36.00,-48.00,43.00,-43.00,41.00,-45.00,37.00
2022-01-01,06:45,16.08,32.65,21.00,,,,,,43.00,43.00,-37.00,43.00,-42.00,40.00,-46.00,40.00,-47.00,39.00
2022-01-01,07:00,15.90,32.80,19.00,,,,,,42.00,43.00,-35.00,40.00,-41.00,39.00,-35.00,49.00,-41.00,40.00
2022-01-01,07:15,15.72,32.98,23.00,,,,,,43.00,43.00,-46.00,39.00,-43.00,45.00,-39.00,44.00,-45.00,41.00
2022-01-01,07:30,15.51,33.09,25.00,,,,,,43.00,43.00,-44.00,39.00,-44.00,37.00,-40.00,37.00,-42.00,38.00
2022-01-01,07:45,15.36,33.26,24.00,,,,,,43.00,43.00,-42.00,39.00,-45.00,42.00,-39.00,41.00,-39.00,43.00
2022-01-01,08:00,15.26,33.60,22.00,,,,,,43.00,43.00,-42.00,37.00,-39.00,42.00,-40.00,39.00,-38.00,39.00
2022-01-01,08:15,15.89,33.96,20.00,,,,,,42.00,43.00,,,,,,,,
2022-01-01,08:30,15.72,33.38,26.00,,,,,,42.00,43.00,-39.00,40.00,-40.00,41.00,-43.00,40.00,-42.00,41.00
2022-01-01,08:45,15.38,33.93,21.00,,,,,,43.00,43.00,-41.00,38.00,-45.00,38.00,-39.00,44.00,-40.00,37.00
2022-01-01,09:00,15.28,34.03,28.00,,,,,,43.00,43.00,-39.00,37.00,-41.00,42.00,-46.00,39.00,-37.00,48.00
2022-01-01,09:15,,,,,,,,,,,,,,,,,,
2022-01-01,09:30,15.72,33.62,23.00,,,,,,42.00,43.00,-37.00,40.00,-39.00,43.00,-49.00,40.00,-47.00,37.00
2022-01-01,09:45,15.27,34.27,25.00,,,,,,43.00,43.00,-37.00,36.00,-37.00,44.00,-39.00,46.00,-43.00,43.00
2022-01-01,10:00,15.31,34.25,22.00,,,,,,43.00,43.00,-37.00,39.00,-37.00,41.00,-38.00,40.00,-39.00,37.00
2022-01-01,10:15,,,,,,,,,,,,,,,,,,
2022-01-01,10:30,15.62,33.87,24.00,,,,,,42.00,43.00,-42.00,42.00,-40.00,40.00,-42.00,45.00,-41.00,39.00
2022-01-01,10:45,15.25,34.29,20.00,,,,,,43.00,43.00,-36.00,42.00,-39.00,38.00,-38.00,43.00,-38.00,40.00
2022-01-01,11:00,15.97,33.35,22.00,,,,,,42.00,43.00,-35.00,37.00,-38.00,35.00,-40.00,41.00,-37.00,35.00
