Date,Time,avg(temp),avg(humidity),max(pir),max(nearPir),min(ch1),max(ch1),min(ch2),max(ch2),min(als),max(als),min(tp0),max(tp0),min(tp1),max(tp1),min(tp2),max(tp2),min(tp3),max(tp3)
2020-11-08,23:45,21.58,57.98,631.00,,,,,,9.00,50.00,-593.00,1162.00,-618.00,1204.00,-574.00,976.00,-544.00,985.00
2020-11-09,00:00,22.33,56.55,355.00,,,,,,36.00,48.00,-71.00,100.00,-117.00,181.00,-104.00,176.00,-88.00,149.00
2020-11-09,00:15,22.41,57.75,489.00,,,,,,31.00,49.00,-104.00,153.00,-129.00,218.00,-155.00,192.00,-114.00,184.00
2020-11-09,00:30,21.65,62.15,291.00,,,,,,37.00,47.00,-114.00,176.00,-174.00,213.00,-132.00,234.00,-108.00,177.00
2020-11-09,00:45,22.10,59.71,449.00,,,,,,14.00,48.00,-102.00,185.00,-128.00,259.00,-125.00,254.00,-112.00,207.00
2020-11-09,01:00,22.11,58.74,551.00,,,,,,18.00,48.00,-272.00,275.00,-381.00,311.00,-258.00,248.00,-163.00,236.00
2020-11-09,01:15,22.02,58.29,394.00,,,,,,21.00,48.00,-114.00,242.00,-126.00,359.00,-141.00,270.00,-121.00,179.00
2020-11-09,01:30,21.92,57.92,354.00,,,,,,37.00,48.00,-133.00,162.00,-129.00,271.00,-149.00,149.00,-129.00,165.00
2020-11-09,01:45,21.93,58.11,383.00,,,,,,38.00,46.00,-66.00,63.00,-83.00,95.00,-93.00,104.00,-63.00,90.00
2020-11-09,02:00,21.84,56.54,661.00,,,,,,44.00,46.00,-79.00,78.00,-103.00,73.00,-133.00,182.00,-106.00,136.00
2020-11-09,02:15,21.69,56.60,,,,,,,,,,,,,,,,
2020-11-09,02:30,21.61,56.49,387.00,,,,,,24.00,47.00,-93.00,97.00,-144.00,201.00,-120.00,148.00,-82.00,115.00
2020-11-09,02:45,,,,,,,,,,,,,,,,,,
2020-11-09,03:00,21.46,56.58,409.00,,,,,,34.00,48.00,-83.00,91.00,-111.00,112.00,-123.00,106.00,-131.00,152.00
2020-11-09,03:15,21.21,55.66,23.00,,,,,,45.00,46.00,-44.00,42.00,-47.00,40.00,-54.00,45.00,-43.00,46.00
2020-11-09,03:30,21.02,56.17,389.00,,,,,,43.00,47.00,-91.00,141.00,-160.00,212.00,-173.00,220.00,-154.00,221.00
2020-11-09,03:45,21.07,56.30,443.00,,,,,,0.00,46.00,-243.00,302.00,-254.00,388.00,-335.00,220.00,-267.00,203.00
2020-11-09,04:00,21.10,55.32,122.00,,,,,,0.00,0.00,-68.00,96.00,-85.00,151.00,-102.00,154.00,-98.00,131.00
2020-11-09,04:15,,,,,,,,,,,,,,,,,,
2020-11-09,04:30,20.92,55.91,485.00,,,,,,0.00,49.00,-77.00,99.00,-85.00,153.00,-117.00,173.00,-89.00,150.00
2020-11-09,04:45,,,,,,,,,,,,,,,,,,
2020-11-09,05:00,20.70,56.35,24.00,,,,,,0.00,0.00,-43.00,46.00,-48.00,41.00,-46.00,40.00,-45.00,49.00
